#       time         integral Re         integral Im
#       r =            20.000000           20.000000
 109.0000000   -1.6591176033e-03    1.8541854022e-19
 110.0000000   -7.0522647761e-04    1.5501038165e-19
 111.0000000    3.5232402180e-04    4.6616854838e-20
 112.0000000    1.0856919567e-03   -7.5193245009e-20
 113.0000000    1.2663964935e-03   -1.4459025634e-19
 114.0000000    9.5213073324e-04   -1.8442335756e-19
 115.0000000    4.1477456378e-04   -9.0235534338e-20
 116.0000000   -3.6179869659e-05    3.5035911137e-20
 117.0000000   -2.2276867864e-04    9.5980979988e-20
 118.0000000   -1.6311945668e-04    1.7077123153e-19
 119.0000000   -9.7095772306e-06    1.3043201244e-19
 120.0000000    7.8755828789e-05   -1.3975630729e-20
 121.0000000    3.9415273353e-05   -8.5884927862e-20
 122.0000000   -7.9362727466e-05   -1.1410652501e-19
 123.0000000   -1.8222971827e-04   -1.2152556758e-19
 124.0000000   -2.0866927808e-04   -1.6322929544e-20
 125.0000000   -1.6737810867e-04    5.8389781408e-20
 126.0000000   -1.0707790512e-04    6.5372899896e-20
 127.0000000   -6.2909964912e-05    7.5912412469e-20
 128.0000000   -3.0370833641e-05    3.7676974350e-20
 129.0000000    1.5687479933e-05    3.4339928702e-21
 130.0000000    8.3202669895e-05   -2.0628935951e-21
 131.0000000    1.4613688737e-04   -4.9343204058e-20
 132.0000000    1.6481202446e-04   -5.7711320144e-20
 133.0000000    1.2263083821e-04   -3.4569702292e-20
 134.0000000    4.3238329426e-05   -2.3542190418e-20
 135.0000000   -2.8208188074e-05    3.6191021423e-21
 136.0000000   -6.1902865743e-05    2.6039880801e-20
 137.0000000   -6.4954359764e-05    2.5081143212e-20
 138.0000000   -6.9660998731e-05    7.6073900024e-21
 139.0000000   -1.0046592368e-04   -2.0484984272e-20
 140.0000000   -1.4889043501e-04   -3.2250571176e-20
 141.0000000   -1.7721493118e-04   -3.2541332672e-20
 142.0000000   -1.4698681159e-04   -3.9964436276e-21
 143.0000000   -4.9150436500e-05    2.1483461048e-20
 144.0000000    8.6678181973e-05    4.0423836282e-20
 145.0000000    2.0871191960e-04    3.3964759070e-20
 146.0000000    2.7181498718e-04    2.2562991274e-20
 147.0000000    2.5927441923e-04    1.4182809566e-20
 148.0000000    1.8570059300e-04   -1.0972564885e-20
 149.0000000    8.2814228908e-05   -2.0370748732e-20
 150.0000000   -1.9774717718e-05   -1.9682989543e-20
 151.0000000   -1.0589773860e-04   -1.7378174528e-20
 152.0000000   -1.7128900647e-04   -1.6680166980e-20
 153.0000000   -2.1396707640e-04   -1.2121192997e-20
 154.0000000   -2.2636718718e-04   -7.8818358869e-21
 155.0000000   -1.9673083194e-04   -1.3131011976e-20
 156.0000000   -1.1951591306e-04   -1.4529009617e-21
 157.0000000   -7.0807218884e-06   -4.1150979709e-21
 158.0000000    1.0712185065e-04    2.3582103915e-20
 159.0000000    1.7901977278e-04    1.6914553415e-20
 160.0000000    1.7482151540e-04    2.7491588863e-20
 161.0000000    9.1524951293e-05    1.3277566376e-22
 162.0000000   -3.5718100232e-05   -2.3171481768e-20
 163.0000000   -1.4628393217e-04   -5.0612979175e-20
 164.0000000   -1.8250948032e-04   -3.4920384973e-20
 165.0000000   -1.1930589628e-04   -4.7945328043e-21
 166.0000000    2.1854841383e-05    1.3004370804e-20
 167.0000000    1.8264567361e-04    3.8794126688e-20
 168.0000000    2.9498286669e-04    2.4995223884e-20
 169.0000000    3.0988440782e-04   -3.6637668280e-21
 170.0000000    2.1437804091e-04   -3.7406668601e-20
 171.0000000    3.2424022131e-05   -4.5766682046e-20
 172.0000000   -1.8529765926e-04   -2.7692043939e-20
 173.0000000   -3.7557931024e-04    1.3890616884e-20
 174.0000000   -4.7754935925e-04    2.1882738688e-20
 175.0000000   -4.4913628992e-04    2.4111348872e-20
 176.0000000   -2.8444639894e-04    2.1656520902e-20
 177.0000000   -2.4445555305e-05   -3.6450255921e-22
 178.0000000    2.5010373598e-04   -1.4400740471e-20
 179.0000000    4.4695852821e-04   -8.1073209355e-21
 180.0000000    5.0088101137e-04   -1.4565385609e-21
 181.0000000    4.0189966483e-04   -9.2116510160e-22
 182.0000000    1.9724935277e-04    5.0829711393e-21
 183.0000000   -3.3853573690e-05   -5.3426681726e-21
 184.0000000   -2.1752519832e-04   -2.9177203850e-21
 185.0000000   -3.1340950604e-04   -1.0427329478e-20
 186.0000000   -3.2023736115e-04   -1.3823925289e-20
 187.0000000   -2.6120805895e-04   -5.7851251799e-22
 188.0000000   -1.6406516845e-04    1.5938064671e-21
 189.0000000   -5.0572235182e-05   -7.2913482272e-21
 190.0000000    6.1190903816e-05    3.4003504308e-21
 191.0000000    1.5034888492e-04    1.5991379700e-21
 192.0000000    1.9395554459e-04   -3.4755105681e-22
 193.0000000    1.7809736584e-04    1.5767680486e-20
 194.0000000    1.1096257106e-04    1.1203354291e-20
 195.0000000    2.4918748727e-05    1.8357611278e-20
 196.0000000   -3.8315344529e-05    2.0828118571e-21
 197.0000000   -5.1919353482e-05   -5.5902191992e-21
 198.0000000   -2.1220114021e-05   -1.7877200223e-20
 199.0000000    1.9195600084e-05   -3.3679043305e-20
 200.0000000    2.7841439394e-05   -3.0908738142e-20
 201.0000000   -1.6422671634e-05   -2.3859788069e-20
 202.0000000   -1.0017601697e-04    3.3629315107e-21
 203.0000000   -1.8276914685e-04    2.5529548701e-20
 204.0000000   -2.1921662965e-04    3.5119640848e-20
 205.0000000   -1.8367004791e-04    4.0325565282e-20
 206.0000000   -8.0416650741e-05    1.9381269210e-20
 207.0000000    6.0812484102e-05   -5.2735150451e-21
 208.0000000    1.9880412863e-04   -2.2783222058e-20
 209.0000000    2.9480337306e-04   -3.9948963323e-20
 210.0000000    3.2129591174e-04   -2.9557877539e-20
 211.0000000    2.6640519482e-04   -9.1374717984e-21
 212.0000000    1.3682866329e-04    4.2744824426e-21
 213.0000000   -4.0321023273e-05    1.1364559654e-20
 214.0000000   -2.1995150121e-04    1.1009552979e-20
 215.0000000   -3.4910378782e-04    6.1365449998e-21
 216.0000000   -3.8408930327e-04   -7.6594937741e-21
 217.0000000   -3.0850352711e-04   -9.1385915252e-21
 218.0000000   -1.4313960077e-04    4.6143227317e-21
 219.0000000    5.8782051906e-05    1.3954654827e-20
 220.0000000    2.3071956503e-04    2.4066399665e-20
 221.0000000    3.1829754366e-04    2.0736572036e-20
 222.0000000    2.9964147602e-04    4.8421765607e-21
 223.0000000    1.9160971024e-04   -1.1953508765e-20
 224.0000000    3.9990869157e-05   -3.0874738054e-20
 225.0000000   -1.0076956251e-04   -3.7923272285e-20
 226.0000000   -1.8851293701e-04   -2.1559107238e-20
 227.0000000   -2.0609803398e-04    1.8176325156e-22
 228.0000000   -1.6216201296e-04    2.4316031558e-20
 229.0000000   -8.2162180089e-05    3.4152217524e-20
 230.0000000    4.4343476161e-06    2.9935097052e-20
 231.0000000    7.4759971936e-05    9.8726553247e-21
 232.0000000    1.1722973570e-04   -3.5537287007e-21
 233.0000000    1.2995165575e-04   -1.9342323485e-20
 234.0000000    1.1557470308e-04   -2.7762665357e-20
 235.0000000    7.6803475150e-05   -1.9442871239e-20
 236.0000000    1.6006725073e-05   -1.0405689462e-20
 237.0000000   -6.0664655731e-05    1.7292241840e-21
 238.0000000   -1.3803919272e-04    7.3056834670e-21
 239.0000000   -1.9106271364e-04    1.5735099017e-20
 240.0000000   -1.9215657480e-04    1.9010446975e-20
 241.0000000   -1.2539612565e-04    1.3528822903e-20
 242.0000000   -2.1250259578e-07    2.9569786834e-21
 243.0000000    1.4492674915e-04    2.4041684370e-21
 244.0000000    2.5431034308e-04   -5.8506640846e-21
 245.0000000    2.7886018118e-04   -1.5183969603e-20
 246.0000000    2.0057757908e-04   -1.6568373045e-20
 247.0000000    4.4184905982e-05   -1.6525525220e-20
 248.0000000   -1.3135374802e-04   -6.2356128379e-21
 249.0000000   -2.5812559010e-04    3.9298953389e-21
 250.0000000   -2.8902763381e-04    1.2250095169e-20
 251.0000000   -2.1738055940e-04    1.7703963065e-20
 252.0000000   -7.7427062770e-05    1.3164821445e-20
 253.0000000    7.3222452109e-05    6.3427162977e-21
 254.0000000    1.7946970125e-04   -4.6670902047e-21
 255.0000000    2.1035810471e-04   -1.0156867861e-20
 256.0000000    1.6757663437e-04   -1.3830148326e-20
 257.0000000    7.9328626101e-05   -1.0012818856e-20
