#       time             L^2_Ham             L^2_Mom
 177.0000000    4.2147344408e-02    1.2383717195e-02
 178.0000000    4.1599580188e-02    1.2178163081e-02
 179.0000000    4.1015053691e-02    1.2205006540e-02
 180.0000000    4.0711457346e-02    1.2168126970e-02
 181.0000000    4.0602938433e-02    1.1860459807e-02
 182.0000000    4.0293630681e-02    1.1607068676e-02
 183.0000000    3.9648464435e-02    1.1640156383e-02
 184.0000000    3.9043271659e-02    1.1601880125e-02
 185.0000000    3.8809351971e-02    1.1276135663e-02
 186.0000000    3.8674835374e-02    1.1000162284e-02
 187.0000000    3.8269925948e-02    1.0984408591e-02
 188.0000000    3.7753211156e-02    1.0979059559e-02
 189.0000000    3.7396996199e-02    1.0819172714e-02
 190.0000000    3.7127875564e-02    1.0587037539e-02
 191.0000000    3.6826359795e-02    1.0365424442e-02
 192.0000000    3.6442384795e-02    1.0243256199e-02
 193.0000000    3.5879662855e-02    1.0256531079e-02
 194.0000000    3.5288555167e-02    1.0201581321e-02
 195.0000000    3.5018728316e-02    9.9072499795e-03
 196.0000000    3.4976284663e-02    9.6022320615e-03
 197.0000000    3.4705128516e-02    9.5996288174e-03
 198.0000000    3.4170612044e-02    9.6982614299e-03
 199.0000000    3.3785709246e-02    9.4800723717e-03
 200.0000000    3.3651558039e-02    9.0389585805e-03
 201.0000000    3.3390130489e-02    8.8700963601e-03
 202.0000000    3.2834716351e-02    9.0160697230e-03
 203.0000000    3.2320651336e-02    9.0092314952e-03
 204.0000000    3.2116900811e-02    8.6796259667e-03
 205.0000000    3.2014954158e-02    8.3586923947e-03
 206.0000000    3.1709233820e-02    8.3483287086e-03
 207.0000000    3.1226316385e-02    8.4834166473e-03
 208.0000000    3.0836995711e-02    8.3994999145e-03
 209.0000000    3.0689174200e-02    8.0371782337e-03
 210.0000000    3.0591465997e-02    7.7540399838e-03
 211.0000000    3.0260778826e-02    7.8376686442e-03
 212.0000000    2.9762598953e-02    8.0175990773e-03
 213.0000000    2.9437155746e-02    7.8817013655e-03
 214.0000000    2.9351851690e-02    7.4790363826e-03
 215.0000000    2.9208602648e-02    7.2409079373e-03
 216.0000000    2.8837687647e-02    7.3495977546e-03
 217.0000000    2.8397245788e-02    7.4927397940e-03
 218.0000000    2.8079219258e-02    7.3793399330e-03
 219.0000000    2.7896032656e-02    7.0763503776e-03
 220.0000000    2.7748958290e-02    6.8568669654e-03
 221.0000000    2.7523648138e-02    6.8774011957e-03
 222.0000000    2.7185647862e-02    7.0003576552e-03
 223.0000000    2.6872520057e-02    6.9516660796e-03
 224.0000000    2.6733396398e-02    6.6615772943e-03
 225.0000000    2.6648309008e-02    6.4080548613e-03
 226.0000000    2.6363774374e-02    6.4524937398e-03
 227.0000000    2.5913001172e-02    6.5820364465e-03
 228.0000000    2.5606672850e-02    6.4402008371e-03
 229.0000000    2.5534712925e-02    6.0941521582e-03
 230.0000000    2.5396559118e-02    5.9382131350e-03
 231.0000000    2.4993720596e-02    6.0339824816e-03
 232.0000000    2.4566768084e-02    6.0160453603e-03
 233.0000000    2.4396951966e-02    5.7467666436e-03
 234.0000000    2.4331612515e-02    5.5100706477e-03
 235.0000000    2.4081340814e-02    5.5073460290e-03
 236.0000000    2.3728699106e-02    5.5316673334e-03
 237.0000000    2.3543362987e-02    5.3784818485e-03
 238.0000000    2.3480186211e-02    5.1611774608e-03
 239.0000000    2.3271931303e-02    5.0905082774e-03
 240.0000000    2.2899256920e-02    5.1234672037e-03
 241.0000000    2.2602852531e-02    5.0429429199e-03
 242.0000000    2.2465767153e-02    4.8195041316e-03
 243.0000000    2.2294055028e-02    4.6901915417e-03
 244.0000000    2.1972411328e-02    4.7816480608e-03
 245.0000000    2.1666500524e-02    4.8515769261e-03
 246.0000000    2.1553124269e-02    4.6724960449e-03
 247.0000000    2.1536224940e-02    4.3961414399e-03
 248.0000000    2.1398938669e-02    4.3595513500e-03
 249.0000000    2.1110020012e-02    4.5416119528e-03
 250.0000000    2.0837717319e-02    4.6018357126e-03
